px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
0.001	0.001	0	0	0	0	0	0	0	0	0	6.95323e-310	L
0.346452	-0.346218	0	0	0	0	0	0	0	0	0	2.06614	R
1.51563	-0.117877	0.374827	1.51788e-18	-2.77556e-17	1.55945	-0.138501	2.09897	0.0522228	2.19595	0.109339	2.17188	L
1.62745	0.0171183	1.2698	-0.0961029	-0.0483941	1.81209	0.0474826	2.09897	0.0522228	2.19595	0.109339	16.1294	R
3.65971	0.113773	2.0842	-0.514355	-0.354832	3.89093	-0.134166	4.29136	0.215312	2.28434	0.226323	21.6488	L
3.76318	0.179492	2.17257	0.22933	-0.611776	4.19528	0.218461	4.29136	0.215312	2.28434	0.226323	4.02691	R
6.67892	0.420451	2.8442	0.377038	0.144345	6.86352	0.416817	6.56942	0.496096	2.36382	0.348847	14.8007	L
6.63409	0.442577	2.82082	0.385229	0.143211	6.43926	0.472879	6.56942	0.496096	2.36382	0.348847	0.591146	R
9.03562	0.583352	2.88576	-0.217041	-0.408797	9.07733	0.593211	8.92437	0.89924	2.43359	0.474526	0.835354	L
9.01117	0.639661	2.81707	-0.192677	-0.418177	8.89749	0.886982	8.92437	0.89924	2.43359	0.474526	1.57285	R
11.694	1.55903	2.40275	0.388292	0.218674	11.5756	1.6669	11.3468	1.427	2.49328	0.600781	9.34233	L
11.6637	1.52062	2.42884	0.340183	0.154518	11.4447	1.42958	11.3468	1.427	2.49328	0.600781	1.04896	R
13.6545	2.33955	2.30584	0.460378	0.143548	13.5921	2.31191	13.827	2.07905	2.5429	0.724947	0.730432	L
13.6889	2.29428	2.361	0.400369	0.069748	13.6572	1.99915	13.827	2.07905	2.5429	0.724947	1.67037	R
16.4378	2.84728	2.70244	0.0585774	-0.241759	16.6456	2.903	16.3554	2.85243	2.58284	0.844365	7.66148	L
16.4196	2.8529	2.70535	0.0720917	-0.226159	16.282	2.84648	16.3554	2.85243	2.58284	0.844365	0.299606	R
19.0052	3.67645	2.7097	0.354481	0.128432	19.0106	3.70555	18.923	3.74161	2.61382	0.95648	1.24268	L
19.0498	3.70584	2.71142	0.388607	0.171679	19.363	3.87122	18.923	3.74161	2.61382	0.95648	1.69583	R
21.3506	4.74596	2.67237	0.496331	0.129864	21.3312	4.73205	21.5215	4.73855	2.63679	1.05891	0.105614	L
21.413	4.74491	2.73935	0.458565	0.0767152	21.6213	4.74762	21.5215	4.73855	2.63679	1.05891	1.08199	R
24.0314	5.56592	2.79373	0.24776	-0.132221	24.0787	5.56967	24.1437	5.83295	2.65286	1.14953	0.715143	L
24.1382	5.59874	2.90949	0.230621	-0.151043	24.5601	5.92334	24.1437	5.83295	2.65286	1.14953	4.02256	R
26.6409	6.9408	2.86256	0.547971	0.176539	26.6052	6.96102	26.7833	7.01246	2.6632	1.22647	1.2511	L
26.6469	6.92176	2.903	0.502713	0.10526	26.5419	6.90075	26.7833	7.01246	2.6632	1.22647	0.689083	R
29.4856	8.05124	3.07545	0.318643	-0.12101	29.5864	8.08789	29.4352	8.26299	2.66893	1.28822	2.11439	L
29.4866	8.05537	3.07168	0.320114	-0.119733	29.4716	8.24519	29.4352	8.26299	2.66893	1.28822	0.07025	R
31.9747	9.85973	3.04541	0.723509	0.251681	31.9416	9.88017	32.0955	9.56901	2.67105	1.33358	1.50945	L
31.9421	9.83671	3.02573	0.70619	0.226471	31.7928	9.49891	32.0955	9.56901	2.67105	1.33358	0.849597	R
34.6587	10.8057	2.80818	0.284513	-0.230623	34.6157	10.6988	34.7608	10.9139	2.67035	1.3617	4.6763	L
34.7368	10.831	2.88441	0.264826	-0.246951	35.0599	10.9953	34.7608	10.9139	2.67035	1.3617	2.05895	R
37.1986	12.0695	2.81173	0.462648	0.0653465	37.1404	12.0883	37.4287	12.2803	2.66736	1.37209	1.53722	L
37.2671	12.0848	2.90089	0.446955	0.035952	37.4973	12.2943	37.4287	12.2803	2.66736	1.37209	1.68698	R
40.1684	13.3955	3.2005	0.403922	-0.0356612	40.3285	13.4666	40.0971	13.6505	2.66232	1.36459	4.61245	L
40.125	13.3889	3.14437	0.417029	-0.0188435	39.9009	13.6243	40.0971	13.6505	2.66232	1.36459	0.659345	R
42.7692	14.8236	3.14799	0.521719	0.0691169	42.7664	14.8294	42.7638	15.0065	2.65515	1.33938	0.0771436	L
42.7546	14.8192	3.14533	0.517793	0.0602933	42.5714	14.9817	42.7638	15.0065	2.65515	1.33938	0.226854	R
45.3291	16.5328	3.20547	0.630025	0.0948332	45.3572	16.5524	45.4265	16.3307	2.64546	1.29701	0.194518	L
45.3724	16.5445	3.23527	0.622384	0.0881994	45.649	16.5213	45.4265	16.3307	2.64546	1.29701	0.83521	R
48.2305	17.3761	2.99976	0.210533	-0.262919	48.1541	17.2835	48.0823	17.6063	2.6326	1.23832	3.6707	L
48.1892	17.3557	2.94312	0.206636	-0.275657	47.9331	17.5349	48.0823	17.6063	2.6326	1.23832	0.752272	R
50.6899	19.0315	2.83134	0.68827	0.262988	50.6228	19.0721	50.7276	18.8172	2.61569	1.16454	3.82636	L
50.6796	19.0002	2.85999	0.638285	0.189389	50.5737	18.7834	50.7276	18.8172	2.61569	1.16454	0.813306	R
53.6523	19.9001	2.94389	0.122368	-0.340788	53.7268	19.8982	53.3577	19.9486	2.59372	1.07716	3.41996	L
53.6312	19.8854	2.90957	0.113423	-0.358124	53.5277	19.862	53.3577	19.9486	2.59372	1.07716	0.245979	R
56.1469	21.0428	2.71353	0.427294	0.0981758	56.0322	21.0923	55.9669	20.9874	2.56561	0.978022	4.89242	L
56.1085	21.0219	2.69275	0.410723	0.0805118	55.867	20.985	55.9669	20.9874	2.56561	0.978022	0.752043	R
58.6384	21.7863	2.73582	0.268152	-0.081845	58.6632	21.7821	58.5484	21.9225	2.53033	0.869205	0.331242	L
58.6479	21.7947	2.76322	0.277038	-0.0683369	58.5799	21.9815	58.5484	21.9225	2.53033	0.869205	0.145254	R
60.9399	22.7925	2.65128	0.419859	0.0753004	60.8722	22.7876	61.0941	22.7449	2.48697	0.753031	0.897483	L
60.9169	22.7799	2.64432	0.412521	0.0661765	60.7648	22.6398	61.0941	22.7449	2.48697	0.753031	0.505474	R
63.378	23.4221	2.63957	0.217518	-0.11737	63.3821	23.4069	63.5955	23.4479	2.43482	0.631987	0.343094	L
63.4353	23.4365	2.66379	0.200864	-0.139932	63.7478	23.7442	63.5955	23.4479	2.43482	0.631987	2.12766	R
66.2154	23.9703	2.87629	0.168503	-0.0478191	66.3403	23.9959	66.0431	24.0276	2.37349	0.508655	2.46931	L
66.1319	23.9215	2.74402	0.110055	-0.132928	65.8838	23.9541	66.0431	24.0276	2.37349	0.508655	3.29549	R
68.3893	24.3571	2.51515	0.1388	-0.0340777	68.262	24.3582	68.4273	24.4824	2.30293	0.385623	2.70434	L
68.4414	24.3817	2.55507	0.156002	-0.017148	68.6759	24.6059	68.4273	24.4824	2.30293	0.385623	1.18338	R
