px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
7.33283	-4.91343	-2.77738	2.21221	0.512649	7.3138	-5.05204	7.25	-5	1.81907	-2.72861	2.85945	R
7.38909	-5.06994	-2.78948	2.19767	0.459688	7.30424	-5.15404	7.35	-5.15	1.81907	-2.72861	0.905767	L
7.45579	-5.20132	-2.77222	2.19625	0.419363	7.29446	-5.23429	7.4	-5.3	0.908194	-2.7246	0.818927	R
7.51307	-5.36059	-2.78644	2.17791	0.367845	7.44737	-5.45308	7.45	-5.45	0.90819	-2.72457	0.820935	L
7.59411	-5.49319	-2.78476	2.18618	0.349353	7.63082	-5.61863	7.55	-5.55	1.81974	-1.81974	0.294945	R
7.66977	-5.63148	-2.79019	2.18874	0.328786	7.64356	-5.66706	7.65	-5.65	1.81972	-1.81972	0.125663	L
7.73662	-5.75889	-2.76766	2.18306	0.29121	7.60376	-5.74774	7.7	-5.8	0.90983	-2.72951	0.840701	R
7.79728	-5.90639	-2.77358	2.16817	0.253331	7.7342	-5.95374	7.75	-5.95	0.909826	-2.72948	0.403964	L
7.91931	-6.0251	-2.85093	2.23398	0.352142	7.82165	-6.06822	7.85	-6.1	1.9986	-2.9979	8.96112	R
7.98667	-6.16466	-2.86392	2.22261	0.316412	7.95703	-6.24328	7.95	-6.25	1.99858	-2.99787	0.440682	L
8.07381	-6.29438	-2.85137	2.22551	0.291579	8.17338	-6.44684	8.05	-6.35	1.81738	-1.81739	0.931419	R
8.16387	-6.42675	-2.85596	2.23267	0.280577	8.15891	-6.45335	8.15	-6.45	1.81737	-1.81737	0.0447861	L
8.23911	-6.55031	-2.83047	2.2279	0.248958	8.08628	-6.51855	8.2	-6.6	0.909293	-2.72787	0.973361	R
8.30796	-6.6979	-2.83684	2.21043	0.210761	8.25411	-6.74791	8.25	-6.75	0.909293	-2.72787	0.360342	L
8.39161	-6.82294	-2.83044	2.2144	0.200581	8.25648	-6.78122	8.35	-6.85	1.81994	-1.81993	0.242994	R
8.47422	-6.95305	-2.82991	2.21469	0.18753	8.44494	-6.95805	8.45	-6.95	1.81993	-1.81993	0.0548269	L
8.54229	-7.0655	-2.81103	2.20914	0.164538	8.39359	-7.01743	8.5	-7.1	1.00006	-3.00018	0.598614	R
8.60126	-7.20042	-2.81613	2.18891	0.129912	8.54925	-7.24433	8.55	-7.25	1.00006	-3.00018	0.307872	L
8.7135	-7.32143	-2.87672	2.22856	0.191823	8.64403	-7.39047	8.65	-7.4	1.99807	-2.99712	5.34787	R
8.77554	-7.46538	-2.88801	2.2046	0.150934	8.73559	-7.5421	8.75	-7.55	1.99808	-2.99712	0.484346	L
8.83331	-7.5951	-2.83072	2.17183	0.0804899	8.87176	-7.71912	8.8	-7.65	0.909955	-1.8199	5.851	R
8.89932	-7.73775	-2.83128	2.15393	0.0533423	8.84538	-7.75497	8.85	-7.75	0.909946	-1.81988	0.206125	L
8.9756	-7.85863	-2.83748	2.15599	0.0552686	8.88333	-7.88636	8.9	-7.9	0.999086	-2.9973	0.15416	R
9.02486	-7.99959	-2.84153	2.12758	0.0175764	8.95966	-8.0381	8.95	-8.05	0.999095	-2.9973	0.378342	L
9.05035	-8.13155	-2.76931	2.06875	-0.0830518	8.8564	-8.01424	9	-8.15	0.909309	-1.8186	7.59261	R
9.10869	-8.2664	-2.76349	2.05409	-0.095388	9.05896	-8.24314	9.05	-8.25	0.909301	-1.81859	0.162455	L
9.18418	-8.39065	-2.78167	2.06299	-0.0703826	9.17781	-8.47056	9.1	-8.4	1.0004	-3.00119	0.500018	R
9.2222	-8.52955	-2.78348	2.03289	-0.102064	9.15332	-8.54857	9.15	-8.55	1.00038	-3.00117	0.323963	L
9.24636	-8.671	-2.73695	1.97402	-0.192801	9.22922	-8.6898	9.2	-8.65	0.909508	-1.819	4.25402	R
9.29316	-8.80616	-2.72923	1.95673	-0.201191	9.24541	-8.76863	9.25	-8.75	0.9095	-1.81899	0.192317	L
9.46339	-8.92209	-2.84845	2.10196	0.0682756	9.37748	-9.00609	9.35	-8.95	1.99965	-3.99928	31.3004	R
9.50348	-9.07463	-2.86344	2.07007	0.0272915	9.44703	-9.15328	9.45	-9.15	1.99964	-3.99928	0.602623	L
9.54248	-9.20009	-2.82727	2.0375	-0.0306592	9.50096	-9.25642	9.5	-9.25	0.999584	-1.99917	2.57739	R
9.58715	-9.33708	-2.83011	2.01809	-0.0518108	9.54157	-9.35195	9.55	-9.35	0.999584	-1.99917	0.146933	L
9.61765	-9.4642	-2.80002	1.9822	-0.107241	9.47534	-9.42627	9.55	-9.5	0	-3.00023	1.7541	R
9.63608	-9.61501	-2.80719	1.94095	-0.149729	9.54779	-9.64959	9.55	-9.65	0	-3.0002	0.579381	L
9.70491	-9.74919	-2.83025	1.95618	-0.108707	9.69942	-9.88416	9.6	-9.8	0.999005	-2.997	1.00771	R
9.72445	-9.90049	-2.83792	1.91893	-0.146053	9.64606	-9.9341	9.65	-9.95	0.998995	-2.997	0.468827	L
9.72937	-10.0474	-2.79707	1.85446	-0.241686	9.60087	-9.96395	9.7	-10.05	0.909855	-1.81969	3.74402	R
9.76724	-10.1869	-2.78824	1.84094	-0.242505	9.73801	-10.1396	9.75	-10.15	0.909847	-1.81969	0.158513	L
9.80324	-10.3256	-2.78972	1.82387	-0.2524	9.92627	-10.4745	9.75	-10.3	0	-3.00065	0.484987	R
9.81471	-10.4694	-2.7926	1.79183	-0.274872	9.75524	-10.4732	9.75	-10.45	0	-3.00063	0.218343	L
9.85921	-10.6151	-2.80094	1.79753	-0.236553	9.71825	-10.5087	9.8	-10.6	0.90817	-2.72451	0.921912	R
9.8824	-10.7661	-2.79965	1.77657	-0.245848	9.85048	-10.7526	9.85	-10.75	0.908161	-2.72448	0.0671862	L
9.87823	-10.9172	-2.77648	1.71789	-0.3246	9.88465	-10.9383	9.85	-10.9	0	-2.73074	1.9431	R
9.88403	-11.0676	-2.77369	1.68874	-0.337911	9.83614	-11.041	9.85	-11.05	0	-2.73073	0.16523	L
9.8986	-11.2039	-2.77368	1.67326	-0.33427	9.83952	-11.1692	9.85	-11.2	0	-2.99965	0.0605038	R
9.89361	-11.3474	-2.77748	1.64202	-0.350535	9.84568	-11.3496	9.85	-11.35	0	-2.99961	0.140893	L
9.90704	-11.488	-2.78278	1.63127	-0.337673	9.87961	-11.5637	9.85	-11.5	0	-2.99843	0.0911424	R
9.89269	-11.6323	-2.78722	1.59741	-0.356546	9.83206	-11.6307	9.85	-11.65	0	-2.99843	0.220828	L
9.80056	-11.7675	-2.74424	1.44684	-0.594036	9.85311	-11.8523	9.8	-11.75	-1.0003	-2.00061	14.3748	R
9.77651	-11.8952	-2.7362	1.41413	-0.598323	9.74928	-11.8442	9.75	-11.85	-1.00029	-2.00059	0.172039	L
